,body,category_info.name,epoch_time,id,location_info.address,location_info.plz,price,subject,type,user_alias,rooms,size,type_param
10,"Appartement de 1 pièce entièrement rénové au 1er étage d'un petit immeuble du centre ville comprenant :

Hall, une cuisine équipée, une pièce à vivre, une salle de douche/WC, balcon

Disponibilité : 1er janvier 2019

Contact pour visites : M. Lourenço, concierge, tél.",Appartements,1542950520,24819589,Rue de la Mercerie 18,1003, 1'250.- par mois,Rue de la Mercerie 18 - 1003 Lausanne,u,Régie Duboux SA,1,25m²,Offres de location
11,"BC IMMO vous propose :

Construit en 2006 dans une petite PPE de six logements sise dans un quartier calme et verdoyant à proximité de toutes les commodités. Cet appartement duplex bénéficie de grands volumes et de belles hauteurs sous plafond.

La partie jour est composée d'une entrée avec armoires encastrées, une cuisine entièrement équipée ouverte sur une grande pièce à vivre ainsi qu'un joli balcon aménageable.
La partie nuit comprend trois grandes chambres dont une avec accès à un petit balcon, une salle de bain avec fenêtre et une salle de douche.
La mezzanine de 39m² habitables offre un espace séparé agréable et pourrait être modifiée afin de créer une ou deux pièces supplémentaires.
Une grande cave complète ce bien.

Cinq places de parking (2 intérieures et 3 extérieures) sont disponibles à l'achat en sus du prix de vente selon vos désirs.",Appartements,1542950520,24819551,,1052, 930'000.-,Lumineux duplex en attique | BC IMMO,s,bc immo,5.5,143m²,Offres de vente
12,"Situé dans un immeuble moderne, cet appartement aux lignes contemporaines, offre à ses futurs locataires un cadre de vie des plus agréables. A seulement 5 minutes des transports publics et des commerces. 

le bien est composé ainsi : 

-Hall d'entrée avec armoires murales
-Cuisine entièrement agencée
-Grand séjour lumineux
-Balcon
-Salle de bains avec colonne de lavage
-2 chambres à coucher dont une avec salle de douche et accès balcon

Place de parc intérieure en sus CHF 170.-
Box en sus CHF 210.-",Appartements,1542929590,21582595,Chemin de Rionzi 45,1052, 2'480.- par mois,Appartement de 3.5 pièces,u,de Rham SA,3.5,97m²,Offres de location
13,"A seulement 5 minutes à pieds de la renommée Ecole Hôtelière ('EHL) et des transports publics dans un cadre naturel relaxant et sans nuisances, ce confortable logement, d'une surface utile dépassant les 55 m2, comprend une place de parc couverte. 
Il présente une cuisine s'ouvrant sur un séjour et un balcon avec vue dégagée, une chambre à coucher et une salle d'eau.  

Idéal pour des investisseurs recherchant un placement dans un quartier attrayant et offrant des prestations de qualité pour assurer un rendement économique :
- Chauffage pompe à chaleur
- Panneaux photovoltaïques
- Triple vitrage
- Isolation performante

Au gré d'un environnement vivifiant et verdoyant, cette nouvelle construction composée de 7 lots PPE bénéficie d'une situation exemplaire :
- EHL à environ 500 mètres.
- Arrêt de bus à seulement 400 mètres (reliant M2-Croisettes en 9 minutes)
- CHUV à env. 20 minutes en transport public
- Gare de Lausanne à une vingtaine de minutes

Les finitions, au gré du preneur, présente aussi l'avantage de personnaliser l'appartement.

- Places de parc couverte (incluse)
- Agréable balcon (8 m2)
- Cave
- Buanderie commune
- Parc visiteurs

Informations de cette vente sur plans et photos complémentaires disponible dans la brochure de vente. 

Les lots encore disponibles : un 4,5 pièces avec terrasse, lot 2,5 pièces avec balcon.",Appartements,1542928104,23565287,,1000, 490'000.-,Pour investisseur : situation idéale au calme,s,Intégrale Immobilier Conseils Sàrl,2.5,52m²,Offres de vente
14,"Venez visiter ce bel appartement de 2 pièces pour 53 m2, qui bénéficie d'un environnement particulièrement calme et verdoyant.

En effet, implanté à proximité  des écoles, transports publics, commerces, axes autoroutiers (Lausanne Blécherette), ce logement est idéalement situé.

Il se compose comme suit :
- 1 hall d'entrée avec armoire murale,
- 1 séjour lumineux,
- 1 cuisine agencée et fermée,
- 1 grande chambre à coucher, donnant accès à un joli balcon,
- 1 salle de bains/WC/lavabo.

Possibilité de louer une place de parc intérieure, location en sus.

BAIL FIXE DE DURÉE DÉTERMINÉE DE 5 ANS, AVEC POSSIBILITÉS DE RESILIATION UNILATÉRALE PAR LE LOCATAIRE.

En cas d'intérêt, votre dossier d?inscription doit comporter les pièces suivantes, pour tous les titulaires du bail, y compris l?éventuel garant : 
- Demande d?inscription dûment remplie, datée et signée (à télécharger sur notre site internet)
- Copie de vos 3 dernières fiches de salaire
- Attestation originale de l?Office des poursuites, datant de moins de 3 mois
- Copie de votre pièce d?identité (si nationalité suisse) ou permis de séjour

Les dossiers doivent être envoyés par poste ou déposés directement à notre agence (pas de fax ni de mail).
Seuls les dossiers complets seront pris en considération.",Appartements,1542918229,21579880,Chemin du Furet 12,1018, 1'590.- par mois,"Quartier très calme, lumineux logement",u,Apleona Real Estate SA,2,53m²,Offres de location
15,"Cette magnifique villa est une nouvelle construction contemporaine, située à mi-hauteur de la ville de Lausanne dans le quartier recherché Languedoc.
 
Construite selon les caractéristique MINERGIE, cette superbe villa d'architecte bénéficie d'une vue panoramique sur le lac et les montagnes.
 
Elle jouit de belles surfaces de vie ouvertes sur l'extérieur au c?ur d?un environnement verdoyant.
 
Composé de 5 niveaux et relié par un ascenseur, ce projet peut convenir aux couples et aux familles grâce à sa modularité d'aménagement. Un jardin et une magnifique piscine complètent ce bien.

Les finitions sont au gré de l?acquéreur.
 
L?environnement est calme et résidentiel,  l?accès au centre-ville, aux commerces, aux écoles enfantines, à l'autoroute ainsi qu'aux transports publics se fait en moins de 10 minutes.",Maisons,1542912107,23508256,,1007, 3'600'000.-,Magnifique villa d'architecte neuve,s,Elitim (vente),6,210m²,Offres de vente
16,"Villa mitoyenne de 5.5 pièces, située dans un quartier paisible, sise sur une parcelle d'environ 500 m² et composée comme suit:
Rez:
Hall d'entrée avec coin vestiaire, séjour avec cheminée, cuisine agencée et ouverte sur l'espace salle à manger, WC visiteurs, accès sur les deux terrasses et le jardin
Étage:
Trois chambres à coucher, salle de bains (baignoire et douche)
Combles:
Grande chambre parentale bénéficiant d'armoires intégrées et salle de douche attenante 
Sous-sol:
Grande pièce d'environ 43m², buanderie avec machines et atelier bricolage, local technique
Caractéristiques supplémentaires:
Trois places de parc extérieures, TL n°64 à 8 min à pied puis accès au M2 en 2 min

Loyer net: CHF 3370.00 charges individuelles en sus 
Visites: DOMICIM, Mme Baccaro au",Maisons,1542907535,24814570,,1066, 3'370.- par mois,Villa mitoyenne dans un quartier familial et,u,Domicim Lausanne Gérance,5.5,165m²,Offres de location
17,"Au sein d'un bâtiment idéalement situé à deux pas du centre commercial Malley Lumières, nous vous proposons ce bel appartement au bénéfice des qualités suivantes :
 
- Cuisine ouverte agencée (four, réfrigérateur et cuisinière avec plaques en vitrocéramique) 
- Séjour avec du parquet 
- Hall d'entrée avec armoires murales
- 2 Chambres à coucher avec du parquet 
- Salle de bain et WC-séparés
- Balcon 
- Cave 

Profitez des nombreux avantages de ce quartier. La gare de Prilly-Malley, la Migros et le cinéma sont facilement atteignables à pied. 

Une place de parc intérieure peut au besoin être louée à un loyer de CHF 170.00 / mois. 

Nous nous réjouissons de votre candidature!",Appartements,1542902900,24813422,Chemin de la Gravière 4,1007, 1'830.- par mois,Quartier de Malley,u,Livit SA,3.5,73m²,Offres de location
18,"Bel immeuble Minergie de 2013, quartier calme, bien situé proche du métro et des axes autoroutiers.
Magnifique appartement moderne, spacieux et lumineux avec balcon.
Logement composé d'un grand séjour et trois chambres spacieuses. Salle de bains et salle de douche. Cuisine agencée. Balcon.",Appartements,1542901119,21571171,Chemin du Bois-Murat 16,1066, 3'020.- par mois,"Magnifique appartement moderne, spacieux et l",u,Lausanne,4.5,114m²,Offres de location
19,"Vue
Prix:
1'280.- CHF
Charges:
--
Surface:
110 m2
Pièces:
5.0
Meublé:
--
Au sein d'une colocation, nous recherchons une personne pour remplacer notre colocataire. 
Il s'agit d'un appartement situé au 5eme étage d'un immeuble neuf au centre ville de Lausanne et face au lac ; c'est un splendide duplex de +110m2 ; comprenant 3 chambres, 2 salles de bain, une cuisine, un salon, et un balcon qui offre une magnifique vue sur le lac. L'un des colocataire ne sera à l'appartement que 2 à 3 nuit par semaine, et il restera donc 2 colocataires indépendant sur chaque étage pour se partager ce grand appartement au calme.

L'appartement est complètement neuf.
+ meublé (télé, microonde, lave vaisselle, machine à café , machine à thé, lave linge, séchoir, etc.)
+ internet haut débit
+ cave
+ ascenseur
+ femme de ménage
+ place parking eventuelle

Le / la locataire aura sa chambre et une salle de bain et toilette privé

Chambre disponible à partir du 1 er juin 2018

Prix: 1'280.- CHF",Chambres en colocation,1542894508,24809331,,1005, 1'280.- par mois,chmabre  au sein d'une magnifique colocation,u,calvin,,,Offres de location
20,"Magnifique appartement de 2 pièces en attique, situé dans un immeuble récent et dans un quartier calme à Lausanne.
Ce bel objet se compose comme suit:
Hall/entrée
Cuisine ouverte entièrement agencée et équipée
Séjour
1 chambre parentale
1 salle de douche
1 grand balcon / Roof top 
1 cave 
1 place de parc intérieure en sus CHF 150.- 

Visite & info : Packimpex",Appartements,1542894012,24810397,Avenue du Temple 41,1012, 1'960.- par mois,Magnifique appartement de 2 pièces en attique,u,Nestec SA,2,,Offres de location
21,"110 m2. 2 grandes chambres à coucher, séjour de 40 m2 cuisine ouverte sur séjour. Ecoles, bus et magasins à 2 pas. Accès autoroutes. 
salle-de-bain avec douche italienne. Vue et balcon.
Grand galetas.
Sans ascenseur.
Possibilité d'une place de parc en plus. ",Appartements,1542894012,24810362,Chemin du Mottier 48,1052, 2'350.- par mois,3 1/2 pièces 110 m2 dans les combles d'une vi,u,Gaillard,3.5,110m²,Offres de location
22,"Appartement de 2 pièces meublé au rez inférieur d'un petit immeuble du centre ville comprenant :

Un Hall,
Une cuisine agencée,
Une chambre, 
Un séjour,
Une salle de douche/WC,
Un Balcon

Disponibilité : De suite ou à convenir

Contact pour visites : M. Lourenço, concierge, tél.",Appartements,1542894012,24411504,Rue de la Mercerie 18,1003, 1'750.- par mois,1003 Lausanne - Rue de la Mercerie 18,u,Régie Duboux SA,2,39m²,Offres de location
23,"Situé dans un immeuble moderne, cet appartement aux lignes contemporaines, offre à ses futurs locataires un cadre de vie des plus agréables. A seulement 5 minutes des transports publics et des commerces. 

le bien est composé ainsi : 

-Hall d'entrée avec armoires murales
-Cuisine entièrement agencée
-Grand séjour lumineux
-Balcon
-Salle de bains avec colonne de lavage
-2 chambres à coucher dont une avec salle de douche et accès balcon

Place de parc intérieure en sus CHF 170.-
Box en sus CHF 210.-",Appartements,1542886605,21581748,Chemin de Rionzi 43,1052, 2'380.- par mois,Bel appartement de 3.5 pièces,u,de Rham SA,3.5,96m²,Offres de location
24,"Très joli appartement, fonctionnel, bien équipé à Lausanne.
- A 10 min à pieds du centre ville.
- Au dernier étage

Comprend 3.5 pièces comprenant: 
- une cuisine/un séjour
- deux chambres à coucher,
- une salle de bains /wc,
- un balcon avec une belle vue sur le lac et les montagnes
- une grande cave

Caractéristiques complémentaires: 
- Le séjour avec l?accès au balcon combiné avec la cuisine
- Modernement équipé (lave vaisselle etc.)
- Cuisine entièrement agencée
- Belle douche à l?italienne
- Comprend 2 grandes armoires et 1 espace de rangement
- Non meublé

Localisation: 
M2 station Ours à 600m

Arrêts de buses 6 et 7 juste en bas d?immeuble

Axes autoroutiers, sortie Vennes à 5 minutes

Visiter l'appartement:
Les visites sont prévu chaque soir à partir du 27 Novembre
Pour s'inscrire merci d'envoyer un message ou appeler:",Appartements,1542877062,24805256,,1012, 2'500.- par mois,Joli appartement bien situé à Lausanne,u,Ulli,3.5,72m²,Offres de location
25,"Cette adorable villa bénéficie d'une surface de 130m2 répartie sur 3 niveaux. Sise à quelques pas du centre sportif de Mauvernay, cette ancienne ferme rénovée jouit d'un cadre exceptionnel pour les activités de plein air (ski, VTT, rando, tir à l'arc, équitation,...) tout en étant extrêmement bien désservie : 20min du centre ville de Lausanne en TL et 5min de l'autoroute.Un magnifique jardin avec balancoire, potager, grange et 3 places de parc complètent ce bien.
Idéale pour une famille avec 1 enfant, elle se compose de la manière suivante :
- au rez : cuisine
- au 1er étage : salon, 1 chambre et 1bureau , 1 sdb et wc
- au 2ème étage : mezzanine avec home cinema et une suite parentale avec sdb et wc
Loyer de 2550 CHF, charges comprises.
Libre de suite.",Maisons,1542873535,24804364,Route du Jorat 194c,1000, 2'550.- par mois,Villa mitoyenne triplex de 4.5 pièce et130m2,u,Thomas Gauchet,5.5,130m²,Offres de location
26,"Immeuble à proximité de toutes les commodités : transports, commerces et etc.
Ce logement se compose d'un hall d'entrée, d'une cuisine équipée et agencée, d'un salon, de deux chambres à coucher et d'une salle de bains. Cet appartement a été entièrement rénové.",Appartements,1542863498,24802672,Route de Lausanne 33,1052, 1'690.- par mois,Appartement entièrement rénové  A visiter,u,Régie du Rhône S.A.,3,69m²,Offres de location
27,"Appartement avec du cachet au centre-ville comprenant : hall, séjour, une chambre à coucher, cuisine agencée et équipée, salle de bains/WC, une cave. 

Loyer mensuel : CHF 1'540.00 charges comprise. 
Libre dès le 15 décembre 2018. 

VISITES GROUPEES PREVUES LE 

MERCREDI 28 NOVEMBRE 2018 DE 16H00 A 17H30
VENDREDI 30 NOVEMBRE 2018 DE 16H00 A 17H30.",Appartements,1542863498,24802650,Av. Cour 3,1007, 1'540.- par mois,"Logement ""coup de coeur""",u,Bâloise Assurance SA,2,41m²,Offres de location
28,"Idéalement situé au centre-ville, cet appartement au dernier étage saura séduire les personnes désireuses de vivre en milieu urbain. Proche de toutes les commodités, accès aisé et transports publics (TL et LEB) à proximité immédiate, il saura faciliter votre quotidien.

Pour la qualité de votre logement, cet appartement se compose de la manière suivante: 
 - un hall avec armoire murale
 - une cuisine agencée ouverte avec lave-vaisselle
 - un séjour/salle à manger
 - une chambres à coucher
 - une salle de bain/wc
 - un balcon avec vue 
 - une cave

Places de parc disponbiles en sus.

Intéressé(s) ? La visite vaut le détour.

Photos et descriptif non contractuels.",Appartements,1542863498,24802639,Place Chauderon 20 A,1003, 1'550.- par mois,Proche de toutes commodités,u,Régimo Lausanne SA,2.5,57m²,Offres de location
29,"Bel appartement lumineux créé en 2015 dans les combles d'un immeuble existant, comprenant:
- cuisine agencée avec plan de travail en granit
- séjour avec poutres apparentes
- salle-de-douche/WC.

Finitions de qualité. 
Immeuble avec ascenseur.

A louer pour le 1 février 2019.

Visite prévue le mardi 18 décembre 2018 de 18h00 à 19h00. Merci de vous rendre directement sur place. Nom : Gianluca 

N'hésitez pas à nous contacter, nous nous réjouissons de votre prise de contact !

En cas d'intérêt, vous pouvez nous joindre au .

Documents nécessaires pour déposer une inscription par courrier auprès de notre agence :

- formulaire d'inscription dûment rempli (disponible sur notre site internet )
- attestation de l'Office des Poursuites récente (max. 3 mois)
- dernières fiches de salaire
- copie de pièce d'identité ou du permis de séjour (B ou C)",Appartements,1542863498,24802610,Rue des Echelettes 11,1004, 1'560.- par mois,Appartement neuf de 43 m2 au centre ville,u,Apleona Real Estate SA,1.5,43m²,Offres de location
30,"Dans le quartier dynamique de Sébeillon. Dessinés par des architectes de renom et labellisés «Minergie», ce nouveau bâtiment de qualité est à proximité du centre-ville et très accessible en transports publics.
Magnifique appartement avec terrasse 18 m2, idéal pour célibataire ou couple.
Logement composé d'un hall avec un réduit et colonne lave/sèche-linge, d'une cuisine agencée, d'un séjour avec terrasse, de 2 chambres et d'une salle de bains avec baignoire.",Appartements,1542863498,24802607,Avenue de Sévelin 13 A,1004, 2'130.- par mois,"Magnifique appartement avec terrasse 18 m2, i",u,Lausanne,3.5,75m²,Offres de location
31,"Vous recherchez un logement proche des commerces, des transports publics

Ce splendide appartement en attique et traversant est fait pour vous...

Accès en ascenseur directement dans l'appartement qui se compose de la manière suivante:

-  - Séjour avec parquet au sol 

-  - Cuisine agencé

-  - Pour votre confort 3 chambres avec parquet au sol 

- -Une salle de bain

- -wC visiteur

 Il dispose également d'un grand balcon-terrasse agréable pour profiter du soleil
  

 Pour les visites, veuillez contacter le locataire Monsieur Barras au",Appartements,1542863498,24802594,Rue St-Roch 34,1004, 2'900.- par mois,Votre nouveau chez vous,u,Allianz Suisse Immobilier SA,4,99m²,Offres de location
32,"Charmant appartement  pièces situé au 3ème étage d'un immeuble locatif, se composant comme suit :

- Hall avec armoires murales
- Spacieux séjour avec accès direct au balcon
- Cuisine entièrement agencée avec coin repas et accès au balcon
- Deux belles chambres avec parquet
- Grande salle de bains
- Spacieux balcon

Disponible au 16 août 2017, ainsi que places de parc intérieures

Une fois la visite effectuée et en cas d'intérêt de votre part, merci de nous adresser les documents suivants :

Formulaire de demande de location en original (disponible sur notre site)
Original de l'extrait de l'Office des poursuites datant de moins de trois mois
Copie des trois dernières fiches de salaire
Copie de votre carte d'identité/titre de séjour

Si notre annonce a éveillé votre curiosité, n?hésitez pas à nous contacter.",Appartements,1542843273,16256133,Ch. de Pierrefleur 76,1004, 1'835.- par mois,Bel appartement de 3.5 pièces dans quartier c,u,Wincasa Agence Lausanne,3.5,84m²,Offres de location
33,"Appartement de standing, 4.5 pièces au 2ème étage composé comme suit:
Hall d'entrée avec armoire murale, grand séjour lumineux, bureau (ouvert sur le séjour) cuisine ouverte et entièrement agencée, deux chambres à coucher avec armoires murales, salle de bains/WC attenante à la chambre parentale, salle de douche/WC, réduit avec colonne de lavage. 
Balcon aménageable offrant une belle vue dégagée sur le lac et les montagnes.

Caractéristiques complémentaires:
Stores électriques 
Cave
Place de parc intérieure incluse
  
Contact visites: DOMICIM, Mme Baccaro au",Appartements,1542825008,23556795,Avenue de Jomini 5,1004, 3'700.- par mois,Appartement moderne avec vue sur le lac,u,Domicim Lausanne Gérance,4.5,100m²,Offres de location
34,"Superbe immeuble moderne, proches de nouvelles arcades commerciales et une grande garderie. Proximité immédiate de la station M2 Pont Bessières et de l'arrêt Rotillon pour le Bus TL. Situation marchande très passante et nouvelle en plein centre de la Ville de Lausanne. Quartier citadin de qualité.
Comprenant : cuisine agencée (frigo, congélateur, vitrocéram, lave-vaisselle, plan de travail en granit) ouverte sur séjour-salle à manger, 3 chambres à coucher dont une avec dressing et salle d'eau privative, wc séparé avec colonne de lavage, salle d'eau (douche, wc, lavabo), armoires murales. Au 5ème: grande pièce lumineuse avec accès sur la terrasse. Une cave.",Appartements,1542820790,24796885,Rue du Flon 8,1003, 3'980.- par mois,Appartement de 5 pièces en duplex au 4ème éta,u,galland & cie sa,5,146m²,Offres de location
35,"Cet appartement situé proche des commodités et transports publics, offre pour votre confort :

 - Hall d'entrée
 - Séjour
 - Cuisine agencée
 - 2 chambre à coucher 
 - Salle-de-bains/WC
 - WC séparé 
 - Balcon 

Une place de parc extérieure complète ce bien.

Une seule visite groupée sans rendez-vous est prévue le lundi 26 novembre 2018 de 18h00 à 19h00.

En cas d'intérêt pour l'objet, merci de nous transmettre les documents suivants :

- Demande de location ()
- Copie de l'extrait de l'Office des poursuites (moins de 2 mois)
- Copie des trois dernières fiches de salaire
- Copie de la carte d'identité ou du permis de séjour",Appartements,1542820790,24796862,Ch. de Champrilly 12,1004, 1'405.- par mois,Logement confortable à proximité du parc de V,u,Wincasa Agence Lausanne,3.5,63m²,Offres de location
36,"Bel appartement très lumineux de 3.5 pièces au 2ème étage (ascenseur), vue sur le lac depuis toutes les pièces , situé dans un quartier calme et verdoyant à quelques minutes du centre-ville, des commerces, des écoles et transports publics.
 
Ce logement est composé comme suit : une cuisine moderne entièrement agencée et ouverte sur le hall, un séjour lumineux, deux spacieuses chambres à coucher, une salle-de-bains, WC séparés, balcon et une cave. Il dispose de nombreux rangements intégrés et d?un raccordement pour la machine à laver et la fibre optique.

Disponibilité : 1er janvier 2019 
Loyer : Fr. 2'250.00 / mois charges comprises",Appartements,1542820790,24796840,5 aimé-steinlen,1004, 2'250.- par mois,Chemin Aimé-Steinlen 5 - 1004 Lausanne,u,misa management immobilier sa,3.5,,Offres de location
37,"Superbe immeuble moderne, proches de nouvelles arcades commerciales et une grande garderie. Proximité immédiate de la station M2 Pont Bessières et de l'arrêt Rotillon pour le Bus TL. Situation marchande très passante et nouvelle en plein centre de la Ville de Lausanne. Quartier citadin de qualité.
Comprenant : Hall, cuisine agencée (frigo, congélateur, vitrocéram, lave-vaisselle, plan de travail en granit) ouverte sur séjour-salle à manger, 3 chambres à coucher dont une avec dressing, 2 salles d'eau (baignoire, douche, wc, lavabo), wc séparé avec colonne de lavage, armoires murales. Terrasse. Une cave.",Appartements,1542820790,24796838,Rue du Flon 8,1003, 3'860.- par mois,Magnifique appartement 4 pièces (env. 133 m²),u,galland & cie sa,4,134m²,Offres de location
38,"VISITE GROUPEE LE JEUDI 29 NOVEMBRE A 18H30 avec le locataire M. KNEUSS

Charmant appartement au Rez supÃ©rieur sis dans le Coeur de la vielle ville de Lausanne.
Ce bien se situe a deux pas de la cathÃ©drale et se compose comme suit : 

1 sÃ©jour et 1 chambre avec parquet 
1 cuisine sÃ©parÃ©e (Ã©quipÃ©e d'un frigo et d'une plaque de cuisson)
1 salle de bain/wc

Notez qu'il n'y a pas de balcon, la buanderie est commune et l'appartement est louÃ© sans cave.

Pour les demandes de location : GÃ©rance deRham - 

VISITE GROUPEE LE JEUDI 29 NOVEMBRE A 18H30 avec le locataire M. KNEUSS",Appartements,1542816494,24795464,Rue CitÃ©-Devant 10,1005, 1'200.- par mois,Charmant appartement de 2.5 piÃ¨ces vers la ca,u,Nestec SA,2.5,37m²,Offres de location
